amount,transaction_type,payment_method,account_age,failed_transactions,is_fraud
34556.1,Online Purchase,Net Banking,1066,2,0
65520.84,Cash Withdrawal,Credit Card,1809,5,0
84172.09,Cash Withdrawal,Net Banking,461,2,1
14127.32,Bill Payment,Debit Card,690,8,0
84530.78,Money Transfer,Credit Card,2155,9,1
138069.94,Money Transfer,Net Banking,387,5,1
102228.72,Online Purchase,Net Banking,1531,9,0
15999.88,Bill Payment,Debit Card,119,1,0
106185.23,Cash Withdrawal,Net Banking,1104,9,1
49481.1,Online Purchase,Net Banking,1331,9,1
129505.5,Bill Payment,UPI,228,1,0
90383.5,Online Purchase,Net Banking,1046,2,0
115654.54,Cash Withdrawal,Credit Card,85,3,1
116945.93,Bill Payment,Debit Card,494,4,1
64910.53,Bill Payment,Debit Card,1471,10,1
55181.78,Money Transfer,Net Banking,1825,6,1
84502.26,Cash Withdrawal,Credit Card,1731,5,0
65172.48,Cash Withdrawal,Credit Card,166,8,1
69582.38,Money Transfer,Debit Card,2029,8,1
78749.2,Bill Payment,Net Banking,1792,1,0
71693.94,Money Transfer,Debit Card,1231,3,0
44392.7,Online Purchase,Credit Card,185,8,1
63794.54,Online Purchase,Net Banking,2329,4,1
87876.63,Online Purchase,Credit Card,1896,2,0
126452.18,Online Purchase,Credit Card,1705,4,1
108641.79,Cash Withdrawal,UPI,1399,2,1
11825.26,Bill Payment,Credit Card,1777,8,1
59300.58,Online Purchase,Debit Card,1955,7,0
130330.2,Cash Withdrawal,UPI,1478,10,0
101297.83,Bill Payment,Credit Card,513,2,1
16875.68,Online Purchase,Debit Card,110,3,0
21858.61,Money Transfer,Net Banking,2207,3,1
115481.2,Money Transfer,Net Banking,1729,0,1
135372.06,Cash Withdrawal,Net Banking,1932,0,0
87825.42,Money Transfer,UPI,2333,6,1
1280.35,Cash Withdrawal,Net Banking,2031,9,0
83190.25,Bill Payment,Credit Card,1997,6,0
88696.79,Cash Withdrawal,Debit Card,249,8,1
86502.86,Online Purchase,UPI,1709,7,1
93442.23,Bill Payment,Net Banking,1787,0,1
108958.75,Cash Withdrawal,UPI,1795,3,0
88190.04,Bill Payment,Net Banking,538,4,0
58616.65,Cash Withdrawal,UPI,1935,2,0
42440.34,Online Purchase,Net Banking,529,2,0
90901.78,Online Purchase,Net Banking,2023,4,1
83568.89,Online Purchase,UPI,1069,5,0
26289.75,Online Purchase,Credit Card,1384,6,1
34080.87,Money Transfer,Net Banking,1057,5,0
115429.15,Bill Payment,Debit Card,2112,9,1
105990.1,Cash Withdrawal,Net Banking,455,1,0
91487.41,Online Purchase,Credit Card,2078,1,1
17797.1,Money Transfer,UPI,644,4,0
114318.51,Cash Withdrawal,Credit Card,632,10,1
122892.2,Online Purchase,Debit Card,1799,6,0
1087.48,Cash Withdrawal,UPI,1175,8,1
39975.74,Cash Withdrawal,UPI,1006,2,0
79494.58,Money Transfer,Debit Card,1757,6,0
134719.98,Bill Payment,Credit Card,1813,2,0
107672.1,Online Purchase,Credit Card,1386,5,1
115878.66,Cash Withdrawal,Credit Card,1611,0,0
96255.72,Online Purchase,UPI,1718,6,0
105148.48,Bill Payment,UPI,1410,0,0
135041.26,Money Transfer,Net Banking,1828,10,1
81709.35,Cash Withdrawal,UPI,1657,3,0
12733.71,Bill Payment,Net Banking,517,8,0
42660.79,Online Purchase,UPI,2136,5,0
24088.1,Online Purchase,UPI,989,4,0
148044.51,Online Purchase,Credit Card,1528,4,1
53235.55,Online Purchase,Credit Card,1839,4,0
881.49,Bill Payment,Debit Card,2383,9,0
140637.16,Money Transfer,UPI,1226,4,1
122280.38,Money Transfer,Net Banking,2129,3,1
77516.13,Money Transfer,UPI,1861,1,1
63911.25,Cash Withdrawal,Credit Card,378,0,0
19596.49,Money Transfer,Net Banking,320,5,0
60472.78,Cash Withdrawal,UPI,2394,7,0
149477.12,Cash Withdrawal,Net Banking,668,2,0
72766.18,Cash Withdrawal,Debit Card,2103,8,1
31975.12,Cash Withdrawal,Credit Card,643,8,1
142778.08,Cash Withdrawal,Credit Card,496,5,1
6138.29,Money Transfer,Credit Card,1522,4,0
45558.69,Cash Withdrawal,Credit Card,586,2,0
63321.37,Bill Payment,UPI,884,2,0
73370.17,Online Purchase,UPI,277,0,0
86001.56,Cash Withdrawal,UPI,1546,7,0
125069.15,Money Transfer,Debit Card,2068,10,1
67544.42,Cash Withdrawal,Debit Card,1333,1,0
99708.9,Cash Withdrawal,Net Banking,954,6,1
6968.38,Cash Withdrawal,UPI,363,2,0
85842.02,Bill Payment,Credit Card,2292,1,1
92843.74,Online Purchase,Debit Card,1950,8,0
18130.45,Money Transfer,Credit Card,1127,3,0
105872.09,Cash Withdrawal,Credit Card,2186,9,1
88375.06,Cash Withdrawal,Credit Card,1393,6,1
3706.14,Bill Payment,Net Banking,1054,1,0
14990.11,Money Transfer,UPI,590,2,0
13535.32,Bill Payment,Net Banking,694,0,0
48861.08,Online Purchase,Credit Card,1221,6,1
21454.84,Bill Payment,UPI,1539,1,0
36019.48,Money Transfer,Net Banking,2084,8,1
17350.7,Online Purchase,UPI,1904,8,0
72677.31,Cash Withdrawal,Debit Card,77,4,0
87967.29,Online Purchase,Debit Card,2273,10,0
45761.47,Cash Withdrawal,Net Banking,344,10,0
117453.95,Money Transfer,UPI,2214,2,0
80676.59,Cash Withdrawal,Net Banking,172,0,0
144171.05,Bill Payment,Debit Card,3,0,0
72379.72,Bill Payment,Net Banking,1440,10,1
126118.56,Bill Payment,Credit Card,662,8,1
45165.69,Cash Withdrawal,Credit Card,573,8,0
131754.07,Money Transfer,UPI,1404,10,1
112928.83,Cash Withdrawal,UPI,1008,10,0
51310.31,Cash Withdrawal,UPI,66,2,0
406.92,Cash Withdrawal,Credit Card,40,10,1
83413.02,Cash Withdrawal,Net Banking,2205,1,0
97399.68,Online Purchase,Credit Card,1824,10,1
145808.65,Cash Withdrawal,UPI,1585,2,0
121799.27,Online Purchase,Credit Card,1896,5,0
66742.19,Money Transfer,Credit Card,1152,10,0
53737.37,Online Purchase,UPI,906,3,0
145097.75,Online Purchase,UPI,2019,9,1
29493.41,Cash Withdrawal,Credit Card,1137,9,0
25654.52,Money Transfer,Debit Card,268,9,1
9850.89,Bill Payment,Debit Card,2143,4,1
101729.01,Bill Payment,Net Banking,9,6,1
141466.83,Online Purchase,UPI,1772,6,1
102058.0,Cash Withdrawal,Net Banking,1481,8,1
132581.99,Money Transfer,Credit Card,1139,6,1
47504.67,Cash Withdrawal,Debit Card,1371,1,0
121170.17,Money Transfer,Net Banking,305,3,1
49450.77,Online Purchase,Credit Card,115,7,0
3701.13,Bill Payment,UPI,1013,1,0
143824.52,Online Purchase,UPI,2129,3,0
116384.85,Cash Withdrawal,Credit Card,1829,9,1
146181.38,Online Purchase,Net Banking,1284,1,0
9394.13,Cash Withdrawal,Credit Card,1235,9,0
9961.96,Online Purchase,Credit Card,1208,6,0
92633.57,Cash Withdrawal,Debit Card,2456,10,0
68066.35,Cash Withdrawal,Net Banking,415,5,0
101398.84,Online Purchase,Net Banking,2119,5,1
16290.19,Online Purchase,Credit Card,2429,3,0
18984.65,Bill Payment,UPI,1725,7,0
66749.18,Money Transfer,Debit Card,181,0,1
87719.89,Bill Payment,UPI,2391,8,0
22196.62,Bill Payment,UPI,1193,5,0
77700.32,Money Transfer,Credit Card,973,8,0
83961.54,Online Purchase,Net Banking,1409,3,0
96119.16,Money Transfer,Credit Card,1399,3,0
104247.76,Cash Withdrawal,UPI,2370,9,0
92453.86,Cash Withdrawal,UPI,665,1,0
118399.79,Online Purchase,Net Banking,899,0,0
104013.76,Cash Withdrawal,Debit Card,980,7,0
142892.98,Bill Payment,Net Banking,841,6,1
148482.72,Bill Payment,Credit Card,303,5,1
17366.87,Bill Payment,Net Banking,797,10,0
114853.36,Online Purchase,Credit Card,816,3,1
32919.86,Bill Payment,Debit Card,1392,8,1
29478.54,Money Transfer,UPI,415,0,0
20672.81,Online Purchase,UPI,862,4,0
55509.13,Bill Payment,Debit Card,2159,9,0
131770.34,Online Purchase,Credit Card,592,2,0
28833.03,Cash Withdrawal,UPI,1303,9,0
95457.83,Online Purchase,Debit Card,2194,4,0
49219.32,Online Purchase,UPI,518,8,0
132886.56,Money Transfer,Credit Card,1928,10,1
25198.29,Cash Withdrawal,UPI,2043,8,0
48341.29,Bill Payment,Net Banking,2027,7,0
60201.82,Online Purchase,Debit Card,900,3,0
35234.25,Money Transfer,UPI,1741,6,0
140331.29,Bill Payment,UPI,2256,1,1
12695.82,Cash Withdrawal,UPI,943,9,1
76888.09,Bill Payment,Net Banking,1848,7,0
55190.04,Cash Withdrawal,UPI,1119,6,1
66309.11,Bill Payment,Credit Card,1471,1,0
75314.56,Online Purchase,UPI,933,1,1
54099.51,Money Transfer,UPI,806,10,1
45477.07,Bill Payment,Debit Card,2475,2,0
112882.27,Bill Payment,Credit Card,1227,4,0
117490.93,Cash Withdrawal,Net Banking,2376,10,1
98148.25,Money Transfer,Net Banking,933,3,0
31560.27,Money Transfer,Net Banking,1890,5,0
47029.92,Money Transfer,Net Banking,1711,3,0
127956.32,Online Purchase,UPI,570,9,0
45905.23,Online Purchase,Net Banking,1453,5,1
63915.33,Cash Withdrawal,UPI,1336,9,1
117825.14,Money Transfer,Debit Card,1353,9,1
90490.12,Cash Withdrawal,Net Banking,837,6,1
58026.43,Cash Withdrawal,Credit Card,1347,9,0
95886.6,Bill Payment,Credit Card,703,1,0
26727.65,Cash Withdrawal,Credit Card,765,3,1
144452.88,Bill Payment,Debit Card,955,4,0
10589.92,Online Purchase,UPI,2124,0,0
128970.13,Cash Withdrawal,Net Banking,644,1,1
62820.14,Online Purchase,Net Banking,846,2,0
46532.6,Cash Withdrawal,Debit Card,2473,9,0
88165.04,Cash Withdrawal,UPI,827,0,0
66915.16,Cash Withdrawal,Debit Card,2154,5,0
131897.98,Cash Withdrawal,Net Banking,2360,0,0
43257.98,Cash Withdrawal,UPI,1219,6,0
121516.72,Money Transfer,Net Banking,1021,2,0
110013.27,Cash Withdrawal,Net Banking,752,9,1
104826.85,Online Purchase,Debit Card,647,4,0
80706.86,Online Purchase,Debit Card,2022,6,0
82968.3,Bill Payment,Credit Card,431,8,0
48969.37,Cash Withdrawal,Debit Card,1036,3,0
69378.91,Online Purchase,Net Banking,1562,5,0
128380.39,Cash Withdrawal,Credit Card,44,4,1
137578.83,Bill Payment,Net Banking,1986,7,1
82309.44,Money Transfer,Net Banking,575,7,0
126250.22,Money Transfer,Credit Card,2487,1,1
18710.29,Cash Withdrawal,Debit Card,318,10,0
101639.73,Money Transfer,Net Banking,1467,2,1
5263.28,Money Transfer,Net Banking,196,10,0
96187.73,Online Purchase,Net Banking,1263,7,1
799.39,Cash Withdrawal,Debit Card,1023,5,0
30077.86,Online Purchase,Net Banking,115,0,0
28903.56,Online Purchase,Debit Card,396,10,1
25140.38,Cash Withdrawal,Credit Card,1340,5,0
28513.18,Money Transfer,Net Banking,1753,1,0
15972.21,Bill Payment,Debit Card,62,6,0
1896.01,Money Transfer,Net Banking,902,1,0
41840.8,Bill Payment,Credit Card,276,3,0
115155.02,Cash Withdrawal,Credit Card,2197,9,1
143859.3,Bill Payment,Net Banking,545,5,1
114281.27,Bill Payment,Net Banking,277,5,1
136824.28,Cash Withdrawal,Net Banking,2094,10,1
75562.66,Online Purchase,Debit Card,87,9,0
18696.02,Money Transfer,Net Banking,998,9,1
20719.57,Cash Withdrawal,UPI,828,2,0
96341.63,Money Transfer,Net Banking,1347,2,1
96575.95,Online Purchase,Net Banking,1182,0,1
109957.68,Bill Payment,Debit Card,844,8,1
137659.96,Money Transfer,Debit Card,2491,6,1
27613.47,Online Purchase,Credit Card,2014,1,0
7910.82,Money Transfer,Debit Card,515,1,0
82372.18,Money Transfer,Debit Card,2079,1,0
70114.43,Money Transfer,Debit Card,1004,6,1
37420.52,Bill Payment,Net Banking,825,4,0
72227.49,Bill Payment,Net Banking,1548,2,0
63462.32,Cash Withdrawal,Debit Card,1975,0,0
64166.85,Online Purchase,UPI,2438,8,1
109024.57,Bill Payment,Net Banking,1900,4,1
56334.52,Cash Withdrawal,Credit Card,1365,2,0
29437.79,Money Transfer,Credit Card,53,8,0
56201.25,Cash Withdrawal,Net Banking,1617,5,1
46240.84,Online Purchase,Net Banking,160,1,0
84884.73,Money Transfer,Net Banking,1046,5,1
73344.41,Bill Payment,Credit Card,1579,6,0
36428.7,Online Purchase,UPI,116,10,0
39273.47,Cash Withdrawal,Debit Card,1042,3,0
142771.56,Money Transfer,Credit Card,479,1,0
137540.74,Cash Withdrawal,Credit Card,2124,3,0
24956.96,Cash Withdrawal,UPI,1238,8,0
98807.06,Cash Withdrawal,UPI,1686,1,1
85934.49,Bill Payment,Debit Card,1102,3,0
59755.74,Bill Payment,Credit Card,690,7,1
10569.24,Cash Withdrawal,Net Banking,1182,6,1
56260.24,Money Transfer,Debit Card,1993,2,0
16624.71,Money Transfer,Debit Card,824,0,0
121395.88,Money Transfer,UPI,1675,7,1
93700.78,Money Transfer,Credit Card,1201,1,0
41586.65,Bill Payment,Credit Card,2399,3,0
100953.41,Online Purchase,Credit Card,251,4,0
1183.28,Online Purchase,Credit Card,865,8,0
56412.3,Bill Payment,Net Banking,1939,5,0
50548.88,Bill Payment,UPI,982,5,0
56827.51,Online Purchase,UPI,1353,1,1
130594.17,Cash Withdrawal,Debit Card,106,9,1
79641.34,Money Transfer,UPI,1852,9,0
130490.97,Cash Withdrawal,Debit Card,13,10,0
121911.6,Online Purchase,UPI,188,5,0
35110.44,Cash Withdrawal,Net Banking,334,5,0
139729.37,Cash Withdrawal,Credit Card,1577,4,1
106820.1,Online Purchase,Debit Card,2040,1,1
100992.02,Cash Withdrawal,Debit Card,1828,1,0
81146.12,Money Transfer,Debit Card,699,10,0
15909.9,Online Purchase,Debit Card,1338,6,0
33134.37,Bill Payment,Net Banking,505,10,1
80228.04,Cash Withdrawal,Credit Card,1364,3,0
114973.97,Online Purchase,UPI,1545,6,0
117783.77,Cash Withdrawal,Debit Card,916,4,1
13243.28,Online Purchase,UPI,2426,3,0
17504.32,Bill Payment,Debit Card,1284,6,0
351.61,Online Purchase,Debit Card,1590,6,0
54817.07,Money Transfer,Debit Card,437,6,1
127869.07,Bill Payment,Debit Card,1216,3,0
68422.1,Bill Payment,Debit Card,141,9,1
75406.46,Online Purchase,UPI,2351,7,0
32434.19,Bill Payment,Net Banking,241,5,1
107543.27,Money Transfer,Credit Card,734,7,1
44935.36,Money Transfer,Credit Card,2245,6,1
101717.01,Bill Payment,Net Banking,1602,1,0
42527.68,Money Transfer,Net Banking,399,2,0
118712.49,Online Purchase,UPI,1875,10,1
20720.39,Cash Withdrawal,UPI,594,3,0
112282.54,Online Purchase,UPI,2358,1,0
148273.78,Money Transfer,Net Banking,1750,10,1
138905.2,Online Purchase,UPI,1941,2,0
17690.29,Bill Payment,Net Banking,609,10,0
36825.65,Online Purchase,Debit Card,1625,7,0
89463.71,Money Transfer,Net Banking,368,7,0
97581.61,Bill Payment,Net Banking,1505,0,1
12487.28,Cash Withdrawal,Debit Card,95,9,0
85937.32,Bill Payment,Credit Card,2429,2,0
149993.13,Cash Withdrawal,UPI,2341,2,1
9618.4,Money Transfer,Net Banking,81,6,0
80508.88,Cash Withdrawal,Credit Card,2126,9,1
122842.26,Online Purchase,Debit Card,481,2,0
104312.86,Online Purchase,Net Banking,1288,1,1
86304.65,Money Transfer,Credit Card,2304,4,0
5347.29,Online Purchase,UPI,1490,8,1
146567.75,Online Purchase,Debit Card,1232,0,0
77964.52,Bill Payment,Net Banking,573,9,1
47009.11,Bill Payment,Debit Card,406,10,0
35641.34,Money Transfer,Debit Card,1228,3,0
90361.44,Money Transfer,UPI,1137,2,0
63360.05,Bill Payment,UPI,1564,10,0
60068.9,Online Purchase,UPI,1743,2,0
10676.65,Bill Payment,Debit Card,1525,9,0
123094.18,Money Transfer,Net Banking,629,5,0
65100.71,Online Purchase,Debit Card,318,4,1
16587.52,Cash Withdrawal,Credit Card,1350,10,1
136395.88,Bill Payment,Debit Card,925,4,1
56635.68,Money Transfer,Net Banking,431,1,1
109276.28,Bill Payment,Net Banking,392,8,1
85866.5,Bill Payment,UPI,2489,1,0
25695.04,Cash Withdrawal,Debit Card,1414,10,0
79799.15,Cash Withdrawal,Net Banking,2427,2,0
103030.09,Money Transfer,Debit Card,585,6,1
40178.75,Bill Payment,Debit Card,2494,6,0
27547.37,Bill Payment,Net Banking,2058,4,0
64221.99,Money Transfer,UPI,357,4,1
46979.26,Online Purchase,Credit Card,315,3,0
24850.46,Online Purchase,Credit Card,1171,8,0
121271.2,Online Purchase,Net Banking,2084,2,0
77300.22,Online Purchase,Net Banking,57,9,1
124726.47,Online Purchase,Net Banking,2189,5,1
110873.57,Online Purchase,Net Banking,691,10,0
114580.2,Money Transfer,Debit Card,308,5,0
77101.3,Online Purchase,Net Banking,2030,6,1
145462.29,Bill Payment,Debit Card,2209,1,1
72520.39,Bill Payment,Debit Card,10,10,1
32697.73,Bill Payment,Credit Card,1897,9,0
8718.76,Online Purchase,Net Banking,1346,4,0
872.65,Money Transfer,Net Banking,1453,0,1
73857.71,Online Purchase,Debit Card,1683,1,0
1135.88,Bill Payment,Debit Card,1928,6,0
54737.91,Money Transfer,UPI,446,7,0
65959.57,Money Transfer,UPI,1778,0,0
130590.06,Money Transfer,Credit Card,777,4,1
59242.45,Bill Payment,Credit Card,657,10,1
71946.32,Bill Payment,Credit Card,1725,7,0
119993.03,Money Transfer,UPI,1638,8,1
111309.79,Cash Withdrawal,Debit Card,450,1,0
19005.92,Bill Payment,Credit Card,969,0,0
51386.94,Online Purchase,Net Banking,1967,4,1
12483.97,Cash Withdrawal,Debit Card,625,8,1
42242.71,Online Purchase,UPI,1014,10,0
29842.03,Online Purchase,Debit Card,773,9,0
22394.04,Online Purchase,Debit Card,1644,0,0
28907.39,Money Transfer,Net Banking,73,9,1
129666.08,Cash Withdrawal,Net Banking,2151,4,0
147020.64,Money Transfer,UPI,1746,7,1
64118.22,Online Purchase,UPI,451,4,1
141455.51,Cash Withdrawal,Debit Card,1311,0,1
180.34,Bill Payment,Debit Card,1169,7,0
91017.62,Cash Withdrawal,Debit Card,1034,7,1
45723.07,Online Purchase,Credit Card,2261,2,0
111219.69,Bill Payment,UPI,976,10,1
87690.65,Online Purchase,Credit Card,535,10,0
18141.12,Money Transfer,Debit Card,1826,1,1
82032.2,Bill Payment,UPI,1943,3,0
23135.49,Money Transfer,Debit Card,1713,8,0
133748.84,Bill Payment,UPI,1837,10,1
136636.29,Online Purchase,Net Banking,1717,8,0
75630.03,Online Purchase,Debit Card,2455,4,0
19427.24,Online Purchase,Credit Card,780,6,0
79917.23,Online Purchase,Debit Card,1794,8,1
116927.89,Cash Withdrawal,UPI,848,2,1
85827.51,Online Purchase,Net Banking,2064,8,1
127886.01,Bill Payment,UPI,2262,1,1
6937.31,Money Transfer,UPI,161,10,1
132552.01,Money Transfer,UPI,212,10,0
148431.49,Money Transfer,Credit Card,6,10,1
90813.41,Bill Payment,UPI,341,8,1
20128.38,Bill Payment,UPI,235,10,0
123607.37,Money Transfer,UPI,724,4,0
80654.57,Online Purchase,Net Banking,1055,10,0
82676.58,Cash Withdrawal,Debit Card,1329,4,1
94507.12,Cash Withdrawal,Debit Card,1828,3,0
65142.14,Money Transfer,Net Banking,384,7,1
27835.7,Money Transfer,Debit Card,2334,7,0
27142.96,Bill Payment,Credit Card,1271,2,0
122643.13,Money Transfer,Credit Card,588,1,1
68308.12,Cash Withdrawal,Credit Card,2158,2,0
121218.11,Online Purchase,Net Banking,1573,0,1
2131.45,Online Purchase,Debit Card,1018,1,0
140795.9,Online Purchase,Credit Card,436,8,1
50824.65,Online Purchase,Debit Card,571,7,0
133869.3,Money Transfer,UPI,1359,7,1
8475.74,Bill Payment,Credit Card,87,0,0
44581.1,Cash Withdrawal,Debit Card,5,3,1
64127.6,Money Transfer,UPI,1175,3,0
102694.18,Online Purchase,Net Banking,695,1,1
143474.33,Bill Payment,UPI,313,9,1
54137.98,Online Purchase,Credit Card,2477,2,1
79619.05,Money Transfer,Net Banking,616,10,0
93751.26,Bill Payment,UPI,426,4,0
99293.58,Bill Payment,Credit Card,9,2,0
22073.7,Money Transfer,Net Banking,1830,7,0
17063.29,Cash Withdrawal,UPI,593,1,0
19217.61,Cash Withdrawal,UPI,1308,7,0
104043.78,Cash Withdrawal,UPI,567,10,0
57539.46,Cash Withdrawal,Net Banking,2182,8,0
57755.63,Cash Withdrawal,Debit Card,358,3,0
30571.62,Online Purchase,UPI,2288,7,0
138143.52,Online Purchase,UPI,1479,2,1
21706.62,Cash Withdrawal,Debit Card,864,3,0
20756.42,Money Transfer,Net Banking,108,6,0
105240.12,Online Purchase,Net Banking,2433,2,1
54850.11,Online Purchase,Debit Card,316,0,0
122075.32,Money Transfer,Debit Card,1925,2,0
104814.73,Bill Payment,Net Banking,1686,5,1
96762.59,Online Purchase,UPI,456,2,1
96403.9,Money Transfer,Debit Card,45,6,0
102017.54,Cash Withdrawal,UPI,2344,8,1
34174.5,Money Transfer,UPI,377,8,1
142665.85,Money Transfer,Net Banking,230,3,1
123393.49,Online Purchase,Net Banking,1956,5,0
60824.47,Cash Withdrawal,Debit Card,224,5,0
29290.12,Online Purchase,Credit Card,319,5,0
127006.73,Online Purchase,Debit Card,1156,2,0
9891.34,Online Purchase,UPI,769,8,1
139387.37,Money Transfer,UPI,349,9,1
84604.52,Cash Withdrawal,Credit Card,197,5,1
46359.87,Bill Payment,UPI,1631,8,1
112801.16,Bill Payment,Debit Card,399,5,1
111243.56,Online Purchase,Debit Card,98,9,0
71595.26,Online Purchase,UPI,661,2,0
11905.05,Online Purchase,Debit Card,884,10,0
115346.97,Money Transfer,UPI,1833,2,1
54111.42,Cash Withdrawal,Credit Card,1588,3,1
91597.05,Online Purchase,Debit Card,2323,10,0
14701.17,Online Purchase,Debit Card,1268,8,0
119627.72,Online Purchase,Net Banking,386,7,1
140114.99,Money Transfer,Credit Card,1148,9,1
13475.46,Money Transfer,Net Banking,1057,7,0
114495.64,Cash Withdrawal,Debit Card,508,9,1
54584.47,Bill Payment,Net Banking,1676,9,0
19434.74,Bill Payment,UPI,1531,1,0
75940.77,Bill Payment,Credit Card,234,3,0
84163.98,Money Transfer,Credit Card,1191,6,1
59952.14,Online Purchase,Debit Card,1591,7,0
52405.8,Cash Withdrawal,Net Banking,447,1,1
16341.41,Cash Withdrawal,Net Banking,818,6,0
47661.0,Cash Withdrawal,Debit Card,1951,1,0
5838.52,Money Transfer,Net Banking,597,10,1
85274.17,Cash Withdrawal,Credit Card,1481,6,0
32091.78,Money Transfer,Credit Card,1733,4,1
26498.23,Money Transfer,Credit Card,1122,6,1
131079.01,Cash Withdrawal,Net Banking,2150,3,0
38991.14,Online Purchase,Credit Card,1756,5,0
44606.06,Money Transfer,UPI,1717,7,0
103355.69,Money Transfer,Net Banking,1453,9,1
1588.73,Money Transfer,Credit Card,2370,9,1
99643.03,Bill Payment,Credit Card,617,7,0
74966.91,Bill Payment,Credit Card,1665,4,0
651.17,Cash Withdrawal,Debit Card,1841,10,0
14707.16,Money Transfer,Debit Card,1722,8,0
90181.41,Money Transfer,UPI,860,3,0
86567.78,Online Purchase,UPI,1491,0,0
46114.12,Online Purchase,Net Banking,1868,6,0
52896.46,Cash Withdrawal,UPI,465,2,0
56030.91,Money Transfer,Net Banking,1563,4,0
103313.74,Cash Withdrawal,UPI,407,1,0
15661.42,Online Purchase,Net Banking,425,7,0
93611.47,Online Purchase,Net Banking,2062,9,0
100189.75,Cash Withdrawal,Debit Card,913,7,1
17263.72,Cash Withdrawal,Credit Card,1437,7,0
123080.65,Cash Withdrawal,Credit Card,1535,3,0
40214.61,Bill Payment,UPI,1699,10,1
135038.07,Cash Withdrawal,Credit Card,64,0,1
56223.42,Bill Payment,UPI,699,9,0
36350.48,Cash Withdrawal,Debit Card,1612,0,0
86720.26,Money Transfer,Net Banking,712,6,0
77639.83,Cash Withdrawal,Debit Card,408,2,0
94753.02,Cash Withdrawal,UPI,2265,2,0
30644.01,Online Purchase,Credit Card,1792,0,0
89033.9,Online Purchase,Credit Card,2343,6,1
110151.96,Cash Withdrawal,UPI,765,3,0
33341.11,Money Transfer,Debit Card,1549,4,0
41317.23,Money Transfer,Credit Card,2374,1,1
139087.13,Online Purchase,Credit Card,581,4,1
27176.09,Online Purchase,Net Banking,1481,3,0
73706.44,Online Purchase,Net Banking,302,7,0
11539.27,Cash Withdrawal,Net Banking,1285,10,0
121301.5,Money Transfer,UPI,42,2,0
94718.89,Online Purchase,Credit Card,1405,5,0
92139.35,Online Purchase,Debit Card,2138,4,0
29007.5,Online Purchase,Credit Card,2122,8,0
32524.35,Bill Payment,Credit Card,889,0,0
33042.19,Money Transfer,UPI,1121,7,1
13886.28,Bill Payment,Net Banking,2031,6,0
60051.33,Money Transfer,UPI,709,3,0
133108.5,Bill Payment,Net Banking,422,9,0
88178.08,Money Transfer,Debit Card,1999,6,0
63618.22,Bill Payment,UPI,441,9,1
30038.14,Bill Payment,UPI,264,7,1
5160.63,Bill Payment,Net Banking,1203,9,0
96800.19,Bill Payment,Net Banking,123,1,1
48469.91,Money Transfer,UPI,1005,1,0
55811.88,Money Transfer,UPI,501,0,0
1734.06,Bill Payment,Debit Card,1907,9,0
134821.72,Online Purchase,Net Banking,1162,9,1
32697.77,Bill Payment,Credit Card,2351,10,1
113454.56,Bill Payment,UPI,812,3,1
74140.75,Online Purchase,UPI,1726,1,1
25753.85,Bill Payment,Net Banking,969,9,1
2773.66,Online Purchase,Net Banking,1165,2,0
60481.34,Online Purchase,UPI,67,1,0
124494.55,Cash Withdrawal,UPI,1126,5,0
60111.62,Bill Payment,Net Banking,193,6,1
147596.63,Cash Withdrawal,Credit Card,1532,9,1
33679.75,Online Purchase,Debit Card,431,5,0
108665.58,Money Transfer,Debit Card,361,3,0
121861.07,Online Purchase,Credit Card,1064,0,1
142077.01,Online Purchase,UPI,1349,9,0
56995.51,Money Transfer,Debit Card,2390,7,1
47967.97,Money Transfer,Net Banking,1831,10,1
79185.58,Cash Withdrawal,Net Banking,1150,5,0
72457.68,Online Purchase,UPI,1214,1,0
125347.76,Money Transfer,Debit Card,320,1,0
9134.01,Online Purchase,Debit Card,1918,6,1
15769.75,Money Transfer,UPI,1278,7,0
127186.27,Online Purchase,Debit Card,897,5,1
67919.54,Money Transfer,Net Banking,770,1,1
24713.03,Bill Payment,Credit Card,604,7,0
111779.4,Money Transfer,Credit Card,1888,2,1
71488.44,Cash Withdrawal,UPI,1088,1,0
12701.61,Cash Withdrawal,Debit Card,617,6,0
76238.23,Online Purchase,Net Banking,1117,5,1
97328.4,Cash Withdrawal,Debit Card,1205,3,0
89147.97,Cash Withdrawal,Net Banking,448,10,1
37416.74,Online Purchase,Debit Card,472,0,0
86327.05,Money Transfer,Credit Card,2180,1,1
132401.78,Cash Withdrawal,Net Banking,1610,1,1
123627.89,Bill Payment,Net Banking,843,2,0
52210.2,Bill Payment,UPI,13,1,1
136176.59,Cash Withdrawal,UPI,978,2,1
10511.25,Money Transfer,UPI,1865,2,0
99938.1,Cash Withdrawal,UPI,86,2,0
132200.5,Money Transfer,Credit Card,2434,5,0
87515.51,Cash Withdrawal,Debit Card,1936,1,1
2706.88,Bill Payment,Debit Card,2152,8,1
22072.79,Online Purchase,Credit Card,1248,5,0
110248.77,Bill Payment,Net Banking,1039,5,1
124179.65,Bill Payment,UPI,2122,10,0
135334.81,Cash Withdrawal,Credit Card,1106,10,1
96006.07,Money Transfer,Net Banking,903,10,0
53643.44,Online Purchase,Debit Card,2366,6,1
111680.33,Money Transfer,Net Banking,443,4,0
